"Province_State" "Country_Region" "Confirmed" "Deaths"
"Yaroslavl Oblast" "Russia" 157013 2715
"Zabaykalsky Krai" "Russia" 167095 2322
"Rwanda" "Rwanda" 129757 1459
"Saint Kitts and Nevis" "Saint Kitts and Nevis" 5554 43
"Saint Lucia" "Saint Lucia" 23045 365
"Saint Vincent and the Grenadines" "Saint Vincent and the Grenadines" 8344 106
"Samoa" "Samoa" 4092 9
"San Marino" "San Marino" 15779 114
"Sao Tome and Principe" "Sao Tome and Principe" 5948 73
"Saudi Arabia" "Saudi Arabia" 752078 9060
"Senegal" "Senegal" 85952 1965
"Serbia" "Serbia" 1991620 15899
"Seychelles" "Seychelles" 41147 164
"Sierra Leone" "Sierra Leone" 7677 125
"Singapore" "Singapore" 1145121 1307
"Slovakia" "Slovakia" 2495855 19618
"Slovenia" "Slovenia" 990788 6541
"Solomon Islands" "Solomon Islands" 12285 139
"Somalia" "Somalia" 26471 1361
"South Africa" "South Africa" 3733919 100116
"South Sudan" "South Sudan" 17356 138
"Andalusia" "Spain" 1414386 13283
"Aragon" "Spain" 409988 4649
"Asturias" "Spain" 209030 2624
"Baleares" "Spain" 276345 1285
"C. Valenciana" "Spain" 1364629 9181
"Canarias" "Spain" 339471 1669
"Cantabria" "Spain" 131229 790
"Castilla - La Mancha" "Spain" 490946 7159
"Castilla y Leon" "Spain" 688334 8412
"Catalonia" "Spain" 2373041 18883
"Ceuta" "Spain" 19880 146
"Extremadura" "Spain" 254612 2292
"Galicia" "Spain" 590178 3225
"La Rioja" "Spain" 93719 913
"Madrid" "Spain" 1645326 18185
"Melilla" "Spain" 20739 154
"Murcia" "Spain" 396966 2213
"Navarra" "Spain" 233090 1522
"Pais Vasco" "Spain" 675578 6519
"Sri Lanka" "Sri Lanka" 662717 16492
"Sudan" "Sudan" 62034 4925
"Summer Olympics 2020" "Summer Olympics 2020" 865 0
"Suriname" "Suriname" 79276 1325
"Blekinge" "Sweden" 29506 161
"Dalarna" "Sweden" 69147 459
"Gavleborg" "Sweden" 73570 684
"Gotland" "Sweden" 11369 69
"Halland" "Sweden" 104212 436
"Jamtland Harjedalen" "Sweden" 32612 168
"Jonkoping" "Sweden" 86038 667
"Kalmar" "Sweden" 59869 339
"Kronoberg" "Sweden" 49222 380
"Norrbotten" "Sweden" 48529 394
"Orebro" "Sweden" 92019 452
"Ostergotland" "Sweden" 94505 802
"Skane" "Sweden" 336868 2337
"Sormland" "Sweden" 63280 572
"Stockholm" "Sweden" 570047 5202
"Uppsala" "Sweden" 88969 665
"Varmland" "Sweden" 64849 330
"Vasterbotten" "Sweden" 56226 306
"Vasternorrland" "Sweden" 53077 584
"Vastmanland" "Sweden" 75407 475
"Vastra Gotaland" "Sweden" 432659 3024
"Switzerland" "Switzerland" 3568616 13620
"Syria" "Syria" 55750 3147
"Taiwan*" "Taiwan" 28666 854
"Tajikistan" "Tajikistan" 17786 125
"Tanzania" "Tanzania" 33851 803
"Thailand" "Thailand" 3925854 26289
"Timor-Leste" "Timor-Leste" 22844 130
"Togo" "Togo" 36957 272
"Tonga" "Tonga" 8559 11
"Trinidad and Tobago" "Trinidad and Tobago" 140781 3787
"Tunisia" "Tunisia" 1038668 28509
"Turkey" "Turkey" 14972502 98462
"Alabama" "US" 15749 214
"Alabama" "US" 55512 678
"Alabama" "US" 5658 98
"Alabama" "US" 6425 101
"Alabama" "US" 14934 241
"Alabama" "US" 2303 53
"Alabama" "US" 5052 129
"Alabama" "US" 32360 620
"Alabama" "US" 8476 161
"Alabama" "US" 5116 85
"Alabama" "US" 11072 202
"Alabama" "US" 2049 36
"Alabama" "US" 7140 99
"Alabama" "US" 4080 81
"Alabama" "US" 3557 69
"Alabama" "US" 13567 231
"Alabama" "US" 16316 260
"Alabama" "US" 2862 71
"Alabama" "US" 2962 58
"Alabama" "US" 9309 229
"Alabama" "US" 3800 98
"Alabama" "US" 24521 365
"Alabama" "US" 12866 229
"Alabama" "US" 8395 242
"Alabama" "US" 18748 326
"Alabama" "US" 23263 343
"Alabama" "US" 10010 169
"Alabama" "US" 28769 643
"Alabama" "US" 4981 96
"Alabama" "US" 9857 137
"Alabama" "US" 6461 163
"Alabama" "US" 1870 48
"Alabama" "US" 4714 105
"Alabama" "US" 4571 75
"Alabama" "US" 25672 503
"Alabama" "US" 15020 237
"Alabama" "US" 184657 2347
"Alabama" "US" 3726 64
"Alabama" "US" 24099 390
"Alabama" "US" 7663 156
