"Province_State" "Country_Region" "Lat" "Long" "Confirmed" "Deaths"
"Finland" "Finland" 61.92411 25.748151 84287 891
"French Guiana" "France" 4 -53 18081 95
"French Polynesia" "France" -17.6797 -149.4068 18708 141
"Guadeloupe" "France" 16.265 -61.551 12927 194
"Martinique" "France" 14.6415 -61.0242 9758 66
"Mayotte" "France" -12.8275 45.166244 19789 168
"New Caledonia" "France" -20.904305 165.618042 124 0
"Reunion" "France" -21.1151 55.5364 18425 135
"Saint Barthelemy" "France" 17.9 -62.8333 934 1
"Saint Pierre and Miquelon" "France" 46.8852 -56.3159 25 0
"St Martin" "France" 18.0708 -63.0501 1702 12
"Wallis and Futuna" "France" -14.2938 -178.1165 438 5
"France" "France" 46.2276 2.2137 5256318 100522
"Gabon" "Gabon" -0.8037 11.6094 22032 136
"Gambia" "Gambia" 13.4432 -15.3101 5720 170
"Georgia" "Georgia" 42.3154 43.3569 295936 3949
"Baden-Wurttemberg" "Germany" 48.6616 9.3501 408870 9085
"Bayern" "Germany" 48.7904 11.4979 557716 13772
"Berlin" "Germany" 52.52 13.405 159779 3154
"Brandenburg" "Germany" 52.4125 12.5316 97112 3469
"Bremen" "Germany" 53.0793 8.8017 23598 437
"Hamburg" "Germany" 53.5511 9.9937 68521 1434
"Hessen" "Germany" 50.6521 9.1624 244779 6648
"Mecklenburg-Vorpommern" "Germany" 53.6127 12.4296 36451 934
"Niedersachsen" "Germany" 52.6367 9.8451 222444 5139
"Nordrhein-Westfalen" "Germany" 51.4332 7.6616 684238 14974
"Rheinland-Pfalz" "Germany" 50.1183 7.309 130754 3469
"Saarland" "Germany" 49.3964 7.023 34914 958
"Sachsen" "Germany" 51.1045 13.2017 246541 8756
"Sachsen-Anhalt" "Germany" 51.9503 11.6923 84060 2981
"Schleswig-Holstein" "Germany" 54.2194 9.6961 55478 1480
"Thuringen" "Germany" 51.011 10.8453 108414 3663
"Ghana" "Ghana" 7.9465 -1.0232 91709 771
"Greece" "Greece" 39.0742 21.8243 316879 9540
"Grenada" "Grenada" 12.1165 -61.679 157 1
"Guatemala" "Guatemala" 15.7835 -90.2308 213049 7241
"Guinea" "Guinea" 9.9456 -9.6966 21612 138
"Guinea-Bissau" "Guinea-Bissau" 11.8037 -15.1804 3712 66
"Guyana" "Guyana" 4.860416 -58.93018 11901 271
"Haiti" "Haiti" 18.9712 -72.2852 12918 251
"Honduras" "Honduras" 15.2 -86.2419 201677 4963
"Hungary" "Hungary" 47.1625 19.5033 753188 25381
"Iceland" "Iceland" 64.9631 -19.0208 6329 29
"Andaman and Nicobar Islands" "India" 11.225999 92.968178 5421 64
"Andhra Pradesh" "India" 15.9129 79.74 968000 7437
"Arunachal Pradesh" "India" 27.768456 96.384277 17052 56
"Assam" "India" 26.357149 92.830441 225822 1142
"Bihar" "India" 25.679658 85.60484 331604 1790
"Chandigarh" "India" 30.733839 76.768278 34546 417
"Chhattisgarh" "India" 21.264705 82.035366 558674 6083
"Dadra and Nagar Haveli and Daman and Diu" "India" 20.194742 73.080901 5102 4
"Delhi" "India" 28.646519 77.10898 877146 12361
"Goa" "India" 15.359682 74.057396 68152 900
"Gujarat" "India" 22.694884 71.590923 415972 5494
"Haryana" "India" 29.20004 76.332824 363813 3448
"Himachal Pradesh" "India" 31.927213 77.233081 78070 1203
"Jammu and Kashmir" "India" 33.75943 76.612638 148208 2063
"Jharkhand" "India" 23.654536 85.557631 167235 1502
"Karnataka" "India" 14.70518 76.166436 1176850 13497
"Kerala" "India" 10.450898 76.405749 1253068 4950
"Ladakh" "India" 34.1526 77.5771 12306 133
"Lakshadweep" "India" 13.6999972 72.1833326 1165 1
"Madhya Pradesh" "India" 23.541513 78.289633 420977 4636
"Maharashtra" "India" 19.449759 76.108221 3898262 60824
"Manipur" "India" 24.738975 93.882541 29775 377
"Meghalaya" "India" 25.536934 91.278882 14979 154
"Mizoram" "India" 23.309381 92.83822 4995 12
"Nagaland" "India" 26.06702 94.470302 12568 94
"Odisha" "India" 20.505428 84.418059 372703 1948
"Puducherry" "India" 11.882658 78.86498 48336 713
"Punjab" "India" 30.841465 75.40879 304660 7985
"Rajasthan" "India" 26.583423 73.847973 426584 3204
"Sikkim" "India" 27.571671 88.472712 6705 136
"Tamil Nadu" "India" 11.006091 78.400624 1002392 13157
"Telangana" "India" 18.1124 79.0193 361359 1856
"Tripura" "India" 23.746783 91.743565 34094 394
"Uttar Pradesh" "India" 26.925425 80.560982 879831 9997
"Uttarakhand" "India" 30.156447 79.197608 126193 1892
"West Bengal" "India" 23.814082 87.979803 668353 10606
"Indonesia" "Indonesia" -0.7893 113.9213 1609300 43567
"Iran" "Iran" 32.427908 53.688046 2261435 67130
"Iraq" "Iraq" 33.223191 43.679291 984950 15026
"Ireland" "Ireland" 53.1424 -7.6921 243911 4836
"Israel" "Israel" 31.046051 34.851612 837218 6341
"Abruzzo" "Italy" 42.35122196 13.39843823 69480 2337
"Basilicata" "Italy" 40.63947052 15.80514834 22254 497
"Calabria" "Italy" 38.90597598 16.59440194 55145 950
"Campania" "Italy" 40.83956555 14.25084984 371749 5987
"Emilia-Romagna" "Italy" 44.49436681 11.3417208 359206 12640
"Friuli Venezia Giulia" "Italy" 45.6494354 13.76813649 103175 3611
"Lazio" "Italy" 41.89277044 12.48366722 311428 7328
"Liguria" "Italy" 44.41149315 8.9326992 96391 4079
"Lombardia" "Italy" 45.46679409 9.190347404 782559 32319
"Marche" "Italy" 43.61675973 13.5188753 94637 2859
"Molise" "Italy" 41.55774754 14.65916051 12885 465
"P.A. Bolzano" "Italy" 46.49933453 11.35662422 70399 1156
"P.A. Trento" "Italy" 46.06893511 11.12123097 43063 1324
"Piemonte" "Italy" 45.0732745 7.680687483 334475 10960
"Puglia" "Italy" 41.12559576 16.86736689 220815 5484
"Sardegna" "Italy" 39.21531192 9.110616306 51742 1318
"Sicilia" "Italy" 38.11569725 13.3623567 196642 5172
"Toscana" "Italy" 43.76923077 11.25588885 217349 5883
"Umbria" "Italy" 43.10675841 12.38824698 53220 1324
"Valle d'Aosta" "Italy" 45.73750286 7.320149366 10433 439
"Veneto" "Italy" 45.43490485 12.33845213 401947 11111
"Jamaica" "Jamaica" 18.1096 -77.2975 44136 727
"Aichi" "Japan" 35.035551 137.211621 30352 604
"Akita" "Japan" 39.748679 140.408228 377 9
"Aomori" "Japan" 40.781541 140.828896 1320 20
"Chiba" "Japan" 35.510141 140.198917 31549 599
"Ehime" "Japan" 33.624835 132.856842 1972 28
"Fukui" "Japan" 35.846614 136.224654 741 31
"Fukuoka" "Japan" 33.526032 130.666949 20255 348
"Fukushima" "Japan" 37.378867 140.223295 2985 115
"Gifu" "Japan" 35.778671 137.055925 5261 124
"Gunma" "Japan" 36.504479 138.985605 5495 102
"Hiroshima" "Japan" 34.605309 132.788719 5435 105
"Hokkaido" "Japan" 43.385711 142.552318 22452 805
"Hyogo" "Japan" 35.039913 134.828057 26110 624
"Ibaraki" "Japan" 36.303588 140.319591 7440 130
"Ishikawa" "Japan" 36.769464 136.771027 2195 68
"Iwate" "Japan" 39.593287 141.361777 781 31
"Kagawa" "Japan" 34.217292 133.969047 1065 20
"Kagoshima" "Japan" 31.009484 130.430665 1964 30
"Kanagawa" "Japan" 35.415312 139.338983 51079 798
"Kochi" "Japan" 33.422519 133.367307 965 19
"Kumamoto" "Japan" 32.608154 130.745231 3670 78
"Kyoto" "Japan" 35.253815 135.443341 10925 177
"Mie" "Japan" 34.508018 136.376013 3188 75
"Miyagi" "Japan" 38.446859 140.927086 7648 50
"Miyazaki" "Japan" 32.193204 131.299374 2049 21
"Nagano" "Japan" 36.132134 138.045528 3524 52
"Nagasaki" "Japan" 33.235712 129.608033 1779 40
"Nara" "Japan" 34.317451 135.871644 5084 62
"Niigata" "Japan" 37.521819 138.918647 1953 17
"Oita" "Japan" 33.200697 131.43324 1379 22
"Okayama" "Japan" 34.89246 133.826252 3244 35
"Okinawa" "Japan" 25.768923 126.668016 11568 131
"Osaka" "Japan" 34.620965 135.507481 68663 1265
"Saga" "Japan" 33.286977 130.115738 1365 14
"Saitama" "Japan" 35.997101 139.347635 35499 728
"Shiga" "Japan" 35.215827 136.138064 3236 61
"Shimane" "Japan" 35.07076 132.554064 303 0
"Shizuoka" "Japan" 34.916975 138.407784 6172 120
"Tochigi" "Japan" 36.689912 139.819213 5088 71
"Tokushima" "Japan" 33.919178 134.242091 939 26
"Tokyo" "Japan" 35.711343 139.446921 130556 1831
"Tottori" "Japan" 35.359069 133.863619 344 2
"Toyama" "Japan" 36.637464 137.269346 1159 29
"Wakayama" "Japan" 33.911879 135.505446 1778 19
"Yamagata" "Japan" 38.448396 140.102154 1356 28
"Yamaguchi" "Japan" 34.20119 131.573293 1570 43
"Yamanashi" "Japan" 35.612364 138.611489 1073 19
"Jordan" "Jordan" 31.24 36.51 689482 8308
"Kazakhstan" "Kazakhstan" 48.0196 66.9237 344140 3294
"Kenya" "Kenya" -0.0236 37.9062 151894 2501
"Kosovo" "Kosovo" 42.602636 20.902977 101191 2080
"Kuwait" "Kuwait" 29.31166 47.481766 258497 1456
"Kyrgyzstan" "Kyrgyzstan" 41.20438 74.766098 92095 1555
"Laos" "Laos" 19.85627 102.495496 58 0
"Latvia" "Latvia" 56.8796 24.6032 111536 2056
"Lebanon" "Lebanon" 33.8547 35.8623 511398 6959
"Lesotho" "Lesotho" -29.61 28.2336 10720 316
"Liberia" "Liberia" 6.428055 -9.429499 2042 85
"Libya" "Libya" 26.3351 17.228331 172464 2908
"Liechtenstein" "Liechtenstein" 47.14 9.55 2823 56
"Lithuania" "Lithuania" 55.1694 23.8813 234232 3770
"Luxembourg" "Luxembourg" 49.8153 6.1296 65144 786
"Madagascar" "Madagascar" -18.766947 46.869107 32798 552
"Malawi" "Malawi" -13.2543 34.3015 33959 1139
"Malaysia" "Malaysia" 4.210484 101.975766 377132 1386
"Maldives" "Maldives" 3.2028 73.2207 26505 70
"Mali" "Mali" 17.570692 -3.996166 13145 441
"Malta" "Malta" 35.9375 14.3754 30026 409
"Mauritania" "Mauritania" 21.0079 -10.9408 18142 454
"Mauritius" "Mauritius" -20.348404 57.552152 1203 15
"Aguascalientes" "Mexico" 21.8853 -102.2916 25669 2317
"Baja California" "Mexico" 30.8406 -115.2838 47216 8012
"Baja California Sur" "Mexico" 26.0444 -111.6661 29601 1308
"Campeche" "Mexico" 19.8301 -90.5349 9199 1161
"Chiapas" "Mexico" 16.7569 -93.1292 10732 1529
"Chihuahua" "Mexico" 28.633 -106.0691 49983 6492
"Ciudad de Mexico" "Mexico" 19.4326 -99.1332 629527 32003
"Coahuila" "Mexico" 27.0587 -101.7068 67568 6153
"Colima" "Mexico" 19.1223 -104.0072 11080 1165
"Durango" "Mexico" 24.5593 -104.6588 33062 2337
"Guanajuato" "Mexico" 21.019 -101.2574 129744 10375
"Guerrero" "Mexico" 17.4392 -99.5451 38921 4239
"Hidalgo" "Mexico" 20.0911 -98.7624 37706 6021
"Jalisco" "Mexico" 20.6595 -103.3494 84344 11685
"Mexico" "Mexico" 19.4969 -99.7233 240919 33373
"Michoacan" "Mexico" 19.5665 -101.7068 46443 5298
"Morelos" "Mexico" 18.6813 -99.1013 31396 3007
"Nayarit" "Mexico" 21.7514 -104.8455 11601 1769
"Nuevo Leon" "Mexico" 25.5922 -99.9962 121501 9171
"Oaxaca" "Mexico" 17.0732 -96.7266 45207 3384
"Puebla" "Mexico" 19.0414 -98.2063 81763 11052
"Queretaro" "Mexico" 20.5888 -100.3899 67385 4042
"Quintana Roo" "Mexico" 19.1817 -88.4791 22244 2561
"San Luis Potosi" "Mexico" 22.1565 -100.9855 61609 5107
"Sinaloa" "Mexico" 25.1721 -107.4795 37251 5932
"Sonora" "Mexico" 29.2972 -110.3309 72275 6441
"Tabasco" "Mexico" 17.8409 -92.6189 63124 4000
"Tamaulipas" "Mexico" 24.2669 -98.8363 55775 4748
"Tlaxcala" "Mexico" 19.3139 -98.2404 19144 2358
"Veracruz" "Mexico" 19.1738 -96.1342 59003 9176
"Yucatan" "Mexico" 20.7099 -89.0943 36336 3533
"Zacatecas" "Mexico" 22.7709 -102.5832 29582 2717
"Moldova" "Moldova" 47.4116 28.3699 246238 5591
"Monaco" "Monaco" 43.7333 7.4167 2404 31
"Mongolia" "Mongolia" 46.8625 103.8467 24195 51
"Montenegro" "Montenegro" 42.708678 19.37439 95695 1438
"Morocco" "Morocco" 31.7917 -7.0926 505949 8952
"Mozambique" "Mozambique" -18.665695 35.529562 69228 800
"Namibia" "Namibia" -22.9576 18.4904 46773 604
"Nepal" "Nepal" 28.1667 84.25 285900 3091
"Aruba" "Netherlands" 12.5211 -69.9683 10345 92
"Bonaire, Sint Eustatius and Saba" "Netherlands" 12.1784 -68.2385 196 3
"Curacao" "Netherlands" 12.1696 -68.99 11903 90
"Drenthe" "Netherlands" 52.862485 6.618435 29318 339
"Flevoland" "Netherlands" 52.550383 5.515162 31870 231
"Friesland" "Netherlands" 53.087337 5.7925 36862 459
"Gelderland" "Netherlands" 52.061738 5.939114 156568 1938
"Groningen" "Netherlands" 53.217922 6.741514 33455 244
"Limburg" "Netherlands" 51.209227 5.93387 93758 1551
"Noord-Brabant" "Netherlands" 51.561174 5.184942 223988 3050
"Noord-Holland" "Netherlands" 52.600906 4.918688 240888 2480
"Overijssel" "Netherlands" 52.444558 6.441722 92330 1096
"Sint Maarten" "Netherlands" 18.0425 -63.0548 2207 27
"Utrecht" "Netherlands" 52.084251 5.163824 109124 1222
"Zeeland" "Netherlands" 51.47936 3.861559 23851 230
"Zuid-Holland" "Netherlands" 51.937835 4.462114 335710 4085
"New Zealand" "New Zealand" -40.9006 174.886 2597 26
"Nicaragua" "Nicaragua" 12.865416 -85.207229 6778 180
"Niger" "Niger" 17.607789 8.081666 5131 190
"Nigeria" "Nigeria" 9.082 8.6753 164303 2061
"North Macedonia" "North Macedonia" 41.6086 21.7453 147229 4478
"Norway" "Norway" 60.472 8.4689 108028 709
"Oman" "Oman" 21.512583 55.923255 181430 1890
"Azad Jammu and Kashmir" "Pakistan" 34.027401 73.947253 15741 442
"Balochistan" "Pakistan" 28.328492 65.898403 21000 225
"Gilgit-Baltistan" "Pakistan" 35.792146 74.982138 5191 104
"Islamabad" "Pakistan" 33.665087 73.121219 70609 645
"Khyber Pakhtunkhwa" "Pakistan" 34.485332 72.09169 107309 2920
"Punjab" "Pakistan" 30.811346 72.139132 273566 7561
"Sindh" "Pakistan" 26.009446 68.776807 273466 4556
"Panama" "Panama" 8.538 -80.7821 361044 6189
"Papua New Guinea" "Papua New Guinea" -6.314993 143.95555 9952 91
"Paraguay" "Paraguay" -23.4425 -58.4438 252443 5384
"Amazonas" "Peru" -5.077253 -78.050172 24786 404
"Ancash" "Peru" -9.407125 -77.671795 58435 2411
"Apurimac" "Peru" -14.027713 -72.975378 16997 393
"Arequipa" "Peru" -15.843524 -72.475539 69466 2272
"Ayacucho" "Peru" -14.091648 -74.08344 25140 680
"Cajamarca" "Peru" -6.430284 -78.745596 47142 1065
"Callao" "Peru" -11.954609 -77.136042 88404 3010
"Cusco" "Peru" -13.191068 -72.153609 50086 1020
"Huancavelica" "Peru" -13.023888 -75.00277 12195 334
"Huanuco" "Peru" -9.421676 -76.040642 28821 880
"Ica" "Peru" -14.235097 -75.574821 46948 2590
"Junin" "Peru" -11.541783 -74.876968 56892 1944
"La Libertad" "Peru" -7.92139 -78.370238 60880 3522
"Lambayeque" "Peru" -6.353049 -79.824113 46601 2408
"Lima" "Peru" -11.766533 -76.604498 789926 25212
"Loreto" "Peru" -4.124847 -74.424115 37767 1370
"Madre de Dios" "Peru" -11.972699 -70.53172 12461 217
"Moquegua" "Peru" -16.860271 -70.839046 22687 509
"Pasco" "Peru" -10.39655 -75.307635 12153 335
"Piura" "Peru" -5.133361 -80.335861 65354 2761
"Puno" "Peru" -14.995827 -69.922726 27555 739
"San Martin" "Peru" -7.039531 -76.729127 37911 1077
"Tacna" "Peru" -17.644161 -70.27756 22731 711
"Tumbes" "Peru" -3.857496 -80.545255 14498 530
"Ucayali" "Peru" -9.621718 -73.444929 28921 836
"Philippines" "Philippines" 12.879721 121.774017 945745 16048
"Poland" "Poland" 51.9194 19.1451 2695327 62133
"Portugal" "Portugal" 39.3999 -8.2245 831221 16946
"Qatar" "Qatar" 25.3548 51.1839 197476 386
"Romania" "Romania" 45.9432 24.9668 1031072 26381
"Adygea Republic" "Russia" 44.6939006 40.1520421 14309 170
"Altai Krai" "Russia" 52.6932243 82.6931424 48789 1999
"Altai Republic" "Russia" 50.7114101 86.8572186 16768 219
"Amur Oblast" "Russia" 52.8032368 128.437295 22170 272
"Arkhangelsk Oblast" "Russia" 63.5589686 43.1221646 61186 910
"Astrakhan Oblast" "Russia" 47.1878186 47.608851 32087 710
